Suspicious,Original,Label
सर्वसाधारणलाई सहज भेट दिने खरेल ती व्यक्तिसंग भने आक्रोशित भए,समितिको सोमबार बसेको बैठकले खड्काको संयोजकत्वमा नौ सदस्यीय अध्ययन उपसमति गठन गरेको थियो,0
दस्तावेजमा एमाओवादीसँग कार्यगत एकता वा पार्टी एकीकरण दुवैको प्रस्तावसमेत वैद्यले राखेका छन्,कार्यालयले शनिबार र आइतबारमात्र वैदेशिक रोजगारीमा जाने ३ सय ५० कामदार फर्काएको थियो,0
उनले भनेबमोजिम सिस्टरको नाम लिएर तथ्यांक मागेपछि साउन महिनाको दिन राजी भइन्,"तर किसुनजी भन्नुहुन्थ्यो, 'राजाका अधिकार कटौती गरेर आन्दोलन गर्ने हामीलाई थुन्दा आश्चर्य मान्नु पर्देन' दुनियाँको रीत यही हो भनेर सम्झाउनुहुन्थ्यो",0
पुरस्कार राशी एक लाख अमेरिकी डलर हो,उनका वुवा असलम वैदेशिक रोजगारीका लागि विदेशमा छन्,0
सारा नेपालीको हर्षका आँसु र गुञ्जनले सिंगो नेपालसँगै सारा विश्व हल्लियो,किसुनजीप्रति भारतीय नेताहरूको यति ठूलो विश्वास थियो,0
"‘साँच्चै बन्दीपुरलाई अलग पहिचानको सहर बनाउने भए सवारी साधन निषेध गरेर सडकमा ढुङ्गाका स्लेट छाप्नुपर्छ भन्ने निष्कर्षमा हामी पुगेका थियौं,’ भट्टराईले सम्झिए","सोमबार दिउँसो उनीहरुले आकस्मिकबाहेक सबै सेवा बहिस्कार गर्ने पत्र डिन कार्यालय, अस्पतालका निर्देशक र सबै विभागीय प्रमुखलाई बुझाएका छन्",0
पक्राउ परेकालाई गौबधसम्बन्धी मुद्दा दायर गरी अनुसन्धान प्रक्रिया अगाडि बढाइएको जिल्ला प्रहरी कार्यालय स्याङ्जाले जनाएको छ,मोटरसाइकल किनबेच गर्ने मिलेरै त्यस साँझ भब्य भोज आयोजना गरियो,0
वैशाख २४ मा तिमी स्वदेश फर्कियौ तिम्रो भब्य स्वागत गरियो र नगर परिक्रमामा राष्ट्रिय झण्डा फहराउँदै पुरै तागत लगाएर रमाइलो गरीयो,यो विषय अब न्यायालय पुग्ला नपुग्ला अर्कै कुरा हो,0
२०३० सालसम्म आइपुग्दा बन्दीपुरको त्यो विशेषता पनि छिनियो,"विद्यालयस्तरका असाधारण मेधावी विद्यार्थीलाई दिइने यो सम्मान शैक्षिक स्तर, चारित्रिक गुण, अतिरिक्त क्रियाकलापमा उत्कृष्ठता आदिका आधारमा मूल्याङ्कन गरी प्रदान गरिन्छ",0
करिब १५ मिनेटमै ६ सय मिटर उक्लने यो बाटोको ‘ड्राइभ’ रोमाञ्चक लाग्छ,"शिब गौतम, मिलन गुरुङ, बिष्णु कार्की, हरि काफ्ले, गौरब थपलियालगायतले मन्तव्य व्यक्त गरेका थिए भने महेश्वर पन्त, दीपा राई पुन, हरि थापा,दिनेश राजभण्डारी, कृष्णराज खनाल, ममता कर्माचार्य, लालगोपाल सुबेदी, अनु शाह ,सुरेश वाग्ले, शिव गौतम, उषा शर्मा, शिव प्रकाश, हरि काफ्ले, गोवर्धन पूजा, गौरब थपलियालगायतले गीत गज़ल र कविता वाचन गरे",0
चीन माओत्से तुङको कब्जामा गइसकेको थियो,बनेपामा पसल तथा विद्यालय पनि खुलेका छन्,0
तुरुन्तै बाटो पक्की गर्न उर्दी दिए,’ नेपाल र भारत सरकारको सहयोगमा बनेको प्रमाणित आयोडिनयुक्त नुन प्रतिकिलोको मूल्य रु १५ पर्छ,0
त्यहाँ पुग्दा त अघि नै दुई जना पत्रकार बसेरहेका छन्,मैले खबरपत्रिका पढन् जान्ने भएदेखि लगातार यस्तो समाचारहरु पढ्दै आइरहेको छु,0
यदि यो सूचना सही हो भने सम्भवतः ऐतिहासिक हुनेछ,बसमा रहेका यात्रु भने भागेर बच्न सफल भएका छन्,0
२०५६ सालमा भंग भएको संसद् २०६३ सालमा पुनःस्थापना भएको थियो,यस क्षेत्रका गाउँमा खुलेका साना पसलमा पनि खुलेयाम ढिके नुनको कारोबार हुन्छ,0
एसएसपी रमेश खरेलको कार्यकक्षमा बिहीबार साँझ एक युवक ‘दाइ नमस्ते’ भन्दै प्रवेश गरे,मोहनचन्द्रले त्यसका निम्ति अर्चलेबोटस्थित पुर्ख्यौली जग्गा तय गरे,0
यसमा पनि सबै प्रकारका कुरा सेयर गर्न सकिन्छ,मार्च ३१ मा उनको मृत्यु भएको हो,0
राजधानीको तुसारो र ठन्डीले पनि यस्तान स्वम्सेवी छेक्न सकेको छैन,आजको नागरिकमा खबर छापिएको छ,0
घटनाका दिन कलंकीबाट उनीहरु ट्याक्सी चालक धनबहादुर आले मगरसंग रत्नपार्क आएका थिए,तर जाँच गर्दा आयोडिनयुक्त नुन नभएको प्रमाणित भएको छ,0
छिमेकी जिल्लाबाट पनि विद्यार्थी आउन थाले,जेलमा समेत बेलाबेलामा किसुनजीका कुरा कांग्रेस नेताहरूसँग मिल्दैनथे,0
काँक्रेविहार घटनालाई लिएर शुरू गरिएको दोस्रो चरणको आन्दोलन स्थगित गर्न अन्तरिम मन्त्रीपरिषदका अध्यक्ष खिलराज रेग्मीले अनुरोध गरेका छन्,"बैठकमा सहभागी एमाले नेता रघुजी पन्तले सेतोपाटीसँग कुरा गर्दै भने, ‘उहाँहरुले आफ्नो पुरानै अडान दोहोर्याउनु भयो",0
२ सय ३४ सिटमा मंगलवार उम्मेद्वार टुङगो लगाएको कांग्रेसले जम्मा १९ सिट ८.११ प्रतिशत मा महिलालाई टिकट दिएको छ,यसरी विदेशमा जानका लागि भिसाशुल्क बढी तिर्नु पर्ने भएकाले नेपालले पनि बढाउन लागेको हो,0
वैशाख २४ मा तिमी स्वदेश फर्कियौ तिम्रो भब्य स्वागत गरियो र नगर परिक्रमामा राष्ट्रिय झण्डा फहराउँदै पुरै तागत लगाएर रमाइलो गरीयो,त्यस्तो उपचारले समग्र स्वास्थ्य सेवा र चिकित्सा शिक्षा क्षेत्रको भलो गर्छ भन्ने बहुसंख्यक समर्थकको धारणा हो,0
"यिनको सक्रियतामा सुनसरीको भुटाहा, घुस्की र जल्पापुरमा आवासिय मदरसा सञ्चालन भएका थिए",त्यस्तै आइतबार समुहगत रूपमा भएको छलफलको निष्कर्ष तथा प्रतिवेदन प्रस्तुत हुने कार्यक्रम रहेको छ,0
केन्द्रमा पुरुष नेतृत्व भएकैले दलहरुमा अझै महिलालाई माथि उठाउनु पर्छ भन्ने चेतनानै नआएको टिकट वितरणको प्रवृत्तिको सन्देश छ,भारतबाट बिजुली नमगाइएको भए यो वर्ष लोडसेडिङ बढेर १७ घण्टामा पुग्ने प्रक्षेपण गरिएको थियो,0
फैजानको हत्याका लागि सुनौलीबाट घटनाको एक साताअघि ३ जना मिलेर राजधानी प्रवेश गरेको बयान दिएका छन्,भट्टराई अनुपस्थित भएको बैठकले विधान नै संशोधन गरेर केन्द्रीय कार्यालयमा बस्न पाउने गरी भट्टराईलाई ‘वरिष्ठ सदस्य'मा चयन गरेको छ,0
"हून्छ त प्यारा, जसरी हुन्छ यो मिसनलाई पुरा गर्नु र पुरै बल र यो फलामे ढोकालाई पार गर्नु अग्रीम शुभकामना",विश्व स्वास्थ्य सङ्गठनको सन् १९८८ मा सम्पन्न साधारणसभाले विश्वबाट पोलियो उन्मूलन गर्ने पारित गरेको थियो,0
प्रिय मन तिमी राष्ट्रको सान जोगाउँन र सारा नेपाली मन हँसाउन अनवरत संर्घष गर्दै प्रतियोगीताका ३ खेलमा जित निकाल्यौ,"दैलोमाथि हरियो स्टिकर टाँसिएको छ कि निलो रु त्यसले त्यो घर र वरपरको सरसफाइमात्र होइन, परिवारका सदस्यको आनीबानीसमेत छर्लंग पार्छ",0
